examen_id,intrebare_text,varianta_a,varianta_b,varianta_c,raspuns_corect
"1","Atunci când se compensează energia electrica reactiva prin baterii de condensatoare, tensiunea în reţeaua electrica:","scade","nu se modifica","creste","c"
"1","Bobinele de stingere din staţiile electrice de transformare sunt echipamente pentru:","compensarea factorului de putere","dotări PSI","compensarea curenţilor capacitivi","c"
"1","Câmpul magnetic poate fi produs:","numai de magneţi permanenţi","numai de electromagneţi","de magneţi permanenţi si de electromagneţi","b"
"1","3 condensatoare având capacitatea C1=100 μF, C2=50 μF, C3=100 μF legate în paralel, au capacitatea echivalentă.","25 μF","250 μF","50 μF","b"
"1","A doua lege a lui Kirchhoff, pentru o reţea electrică cu N noduri şi L laturi (L diferit de N), ne furnizează, pentru analiza unui circuit electric:","L+N-1 ecuaţii distincte","L-N +1 ecuaţii distincte","N-L+1 ecuaţii distincte","b"
"1","AAR se utilizează în scopul:","limitării curenţilor de scurtcircuit;","creşterii continuităţii în alimentare;","reducerii pierderilor de energie pe linii.","b"
"1","Alunecarea s a unui motor asincron are valori:","cuprinse între 1 si 0","cuprinse între -1 si 0","de regulă, mai mari decât 1","a"
"1","Care element nu se foloseşte la reglarea tensiunii în reţelele electrice:","bobina de compensare","transformatorul","rezistorul","c"
"1","Cele mai des utilizate pentru serviciile interne ale centralelor electrice sunt:","motoarele de curent continuu","motoarele sincrone","motoarele asincrone","c"
"1","Bobinele pentru limitarea curenţilor de scurtcircuit au:","rezistenta mare","inductanţa mare","inductanţa mica","b"
"1","Câmpul electrostatic este descris prin:","intensitatea câmpului electric","inducţia electrică","inducţia magnetică","a"
"1","Comparativ cu cele uscate, transformatoarele imersate prezintă :","o bună rezistenţă la foc;","risc crescut de poluare acustică a mediului ambiant;","necesitatea unor amenajări speciale la instalare","b"
"1","Câmpuri fără surse sunt:","un câmp de curenţi de conducţie în regim staţionar","câmpul electric","câmpul de inducţie magnetică","c"
"1","Bobinele montate pe plecari radiale limiteaza curentii de scurtcircuit","atat inainte, cat si dupa punctele lor de racordare la barele statiei;","inainte de punctele lor de racordare la barele statiei;","dupa punctele lor de racordare la barele statiei.","b"
"1","Cantitatea de căldura produsã la trecerea curentului electric printr-un conductor este:","direct proporţională cu secţiunea conductorului","direct proporţionala cu pătratul intensităţii curentului","invers proporţionala cu rezistenta conductorului","b"
"1","Cantitatea de electricitate cu care se încarcă o baterie de n condensatoare montate în serie, fiecare de capacitate C, este:","aceeaşi cu care se încarcă fiecare element component","suma cantităţilor cu care se înarcă fiecare element în parte","egală cu de două ori cantitatea de electricitate cu care se încarcă fiecare condensator","a"
"1","Capacitatea de serviciu Cs a unei linii electrice aeriene simetrice, având capacităţile C12=C23=C31 =C şi neglijînd influenţa pământului, este:","Cs=3 C","Cs=C/3","Cs=C","a"
"1","Capacitatea echivalentă a 2 condensatoare, fiecare având capacitatea C, montate în serie este egală cu:","2 C","C/2","C","b"
"1","Capsularea monopolară conduce la :","eliminarea totală a posibilităţii apariţiei unui scurtcircuit între faze;","micşorarea riscului unor pierderi de gaz izolant;","reducerea cheltuielilor de realizare a instalaţiilor.","a"
"1","Care dintre materialele electrotehnice admit o densitate de curent mai mare:","aluminiu","cupru","ambele admit aceeaşi densitate de curent","b"
"1","Care dintre relaţiile următoare este adevărată:","inducţia electrică = permitivitatea x intensitatea câmpului electric","inducţia electrică = intensitatea câmpului electric/ permitivitate","inducţia electrică=sarcina x intensitatea câmpului electric","a"
"1","Utilizarea unei cuple cu functiuni multiple se prefera atunci cand dorim","scurtarea duratei manevrelor","cresterea continuitatii in alimentare","reducerea investitiei in echiparea statiei.","b"
"1","Care este energia consumata de o rezistenta electrica r = 10 Ω, prin care trece un curent de 2 A timp de 10 ore:","200 Wh","400 Wh","800 Wh","b"
"1","Ce posibilităţi de limitare a curenţilor de scurtcirciut sunt de preferat pentru schema de mai sus ?","reducerea t.e.m., acţionând asupra circuitului de excitaţie al generatorului;","mărirea reactanţei schemei de alimentare între sursă şi locul de defect;","creşterea capacităţii de rupere a întreruptoarelor.","b"
"1","Curentul electric alternativ poate fi produs numai prin fenomene:","termice","chimice","de inducţie","c"
"1","Scheme cu un sistem de bare colectoare şi un întreruptor pe circuit sunt folosite","numai pentru staţii de conexiuni de 6 kV","pentru toate treptele de tensiune din reţelele de distribuţie","numai pentru staţii de conexiuni de medie tensiune până la 6o kV","b"
"1","Celulele prefabricate monobloc se caracterizează în principal prin:","securitate ridicată a persoanelor;","gamă largă de configuraţii ale schemei de conexiuni;","eliminarea totală a posibilităţii de producere a unui scurtcircuit între faze","a"
"1","Circulaţia câmpului magnetic pe un contur închis este egală cu:","suma algebrică a curenţilor care străbat conturul","zero","suma căderilor de tensiune de-a lungul conturului","b"
"1","Comparativ cu cele imersate, transformatoarele uscate prezintă :","o bună rezistenţă la foc;","risc crescut de poluare acustică a mediului ambiant;","necesitatea unor amenajări speciale la instalare","a"
"1","Daca la un circuit al unei staţii de 6 sau 20 kV care funcţionează cu neutrul izolat apare o punere monofazatã netã la pământ, tensiunea fata de pământ a celorlalte doua faze:","scade de 1,41 ori","rămâne constanta","creste de 1,73 ori","c"
"1","Compartimentarea unei celule electrice se utilizează în scopul:","evitării extinderii avariilor;","protejării personalului de exploatare;","protecţiei la supratensiuni","a"
"1","Componenta simetrică directă produce, în cazul unui motor electric:","cuplul util","cuplul de frânare","oscilaţii ale rotorului","a"
"1","Conform Legii lui Coulomb, forţa de atracţie sau de repulsie care se exercită între sarcinile electrice este:","direct proporţională cu pătratul distanţei","invers proporţională cu pătratul distanţei","direct proporţională cu distanţa","a"
"1","Constanta de timp a unui circuit format dintr-un rezistor de rezistenţă R înseriat cu un condensator de capacitate C, este:","RC","R/C","1/(RC)","a"
